exp_sig,fan_cre,plt_con,mul_plt,plt_spo,pk_sco,maj_gen,fi,ao,typ,multi,cre_lev,tra_rate,vio,lt_hol,maj_inc,avg_pv,core_inf
TRUE,FALSE,FALSE,TRUE,C,3387,m,type6,A,A,TRUE,type4,20,TRUE,A,type5,9892,350
TRUE,TRUE,FALSE,TRUE,C,256,m,type5,A,B,TRUE,type4,29,FALSE,B,type4,9503,410
TRUE,FALSE,FALSE,TRUE,C,20306,f,type1,A,A,TRUE,type1,33,TRUE,B,type3,7346,547
TRUE,TRUE,FALSE,TRUE,C,441,m,type6,A,B,FALSE,type5,25,FALSE,A,type4,5033,494
TRUE,TRUE,FALSE,TRUE,A,28353,m,type6,A,B,TRUE,type4,33,FALSE,C,type4,4876,490
FALSE,FALSE,FALSE,TRUE,A,6341,m,type6,B,B,FALSE,type1,50,FALSE,C,type3,7923,580
TRUE,TRUE,FALSE,TRUE,B,15044,m,type3,A,B,TRUE,type1,16,TRUE,A,type4,4458,442
TRUE,FALSE,FALSE,TRUE,A,5327,m,type5,A,A,FALSE,type5,37,TRUE,C,type2,2090,641
TRUE,TRUE,FALSE,TRUE,B,387,m,type5,A,C,FALSE,type1,20,FALSE,B,type3,5880,541
TRUE,TRUE,FALSE,TRUE,A,212,f,type1,A,B,TRUE,type5,41,FALSE,C,type1,7615,829
FALSE,FALSE,FALSE,TRUE,A,30407,f,type2,A,A,FALSE,type2,62,TRUE,C,type1,1890,695
TRUE,FALSE,FALSE,TRUE,B,414,m,type6,A,B,TRUE,type4,20,FALSE,C,type3,4157,577
TRUE,FALSE,FALSE,TRUE,A,476,f,type6,A,A,TRUE,type4,33,FALSE,C,type3,863,576
TRUE,TRUE,FALSE,TRUE,A,7065,m,type5,A,B,FALSE,type5,29,FALSE,C,type3,3695,580
TRUE,FALSE,FALSE,TRUE,A,349,m,type2,A,B,FALSE,type5,20,FALSE,B,type3,9302,598
TRUE,TRUE,FALSE,TRUE,C,1335,m,type4,A,B,TRUE,type4,25,FALSE,C,type3,3753,600
TRUE,TRUE,FALSE,TRUE,C,5146,m,type3,A,B,FALSE,type4,41,FALSE,B,type3,6753,539
TRUE,FALSE,FALSE,TRUE,A,73,f,type3,A,C,TRUE,type5,33,FALSE,B,type4,7917,464
TRUE,FALSE,FALSE,TRUE,A,453,m,type6,B,A,FALSE,type1,20,FALSE,B,type3,1696,602
TRUE,TRUE,FALSE,TRUE,B,71,f,type5,A,B,TRUE,type3,33,FALSE,A,type4,6965,364
TRUE,TRUE,FALSE,TRUE,B,425,m,type5,B,C,FALSE,type5,33,FALSE,C,type4,3828,426
TRUE,TRUE,FALSE,TRUE,C,2248,m,type3,A,A,FALSE,type4,29,FALSE,C,type3,4921,595
TRUE,FALSE,FALSE,TRUE,B,143,m,type6,A,B,TRUE,type4,25,FALSE,C,type3,2546,540
TRUE,FALSE,FALSE,TRUE,B,217,f,type5,A,A,TRUE,type1,33,FALSE,B,type3,9440,522
TRUE,TRUE,FALSE,TRUE,B,85,m,type5,A,B,TRUE,type4,25,FALSE,A,type3,8426,524
TRUE,FALSE,FALSE,TRUE,A,30211,m,type2,A,B,FALSE,type2,25,TRUE,B,type3,4547,594
TRUE,FALSE,FALSE,TRUE,A,21148,m,type1,A,B,TRUE,type1,37,FALSE,B,type1,2402,689
TRUE,FALSE,FALSE,TRUE,C,5172,f,type2,A,B,TRUE,type4,20,FALSE,C,type2,9274,638
TRUE,TRUE,FALSE,TRUE,C,1386,m,type6,A,B,TRUE,type4,29,FALSE,B,type4,3509,510
TRUE,TRUE,FALSE,TRUE,B,209,m,type2,A,A,FALSE,type5,20,FALSE,A,type1,5962,745
TRUE,FALSE,FALSE,TRUE,B,5372,f,type3,B,B,TRUE,type5,33,FALSE,B,type3,4057,521
TRUE,TRUE,FALSE,TRUE,A,4150,m,type5,A,B,TRUE,type1,33,TRUE,C,type2,7312,631
TRUE,TRUE,FALSE,TRUE,A,30235,f,type3,A,A,FALSE,type5,33,FALSE,C,type1,4040,926
TRUE,FALSE,FALSE,TRUE,C,218,m,type2,A,B,TRUE,type4,37,FALSE,B,type4,8055,391
TRUE,TRUE,FALSE,TRUE,A,450,m,type3,B,B,FALSE,type5,25,FALSE,C,type1,4437,786
FALSE,FALSE,FALSE,TRUE,A,10107,f,type6,A,A,TRUE,type2,16,FALSE,A,type2,1578,678
TRUE,TRUE,FALSE,TRUE,C,5373,m,type5,A,B,TRUE,type5,25,FALSE,C,type4,4799,494
TRUE,FALSE,FALSE,TRUE,B,3210,m,type1,A,B,TRUE,type1,20,TRUE,A,type4,1892,424
TRUE,FALSE,FALSE,TRUE,C,446,m,type5,A,B,FALSE,type4,33,FALSE,B,type3,6834,564
TRUE,TRUE,FALSE,TRUE,B,3022,m,type3,B,B,TRUE,type1,16,FALSE,B,type4,2888,457
TRUE,FALSE,FALSE,TRUE,C,6,m,type6,A,B,FALSE,type4,33,FALSE,B,type4,9356,462
TRUE,TRUE,FALSE,TRUE,B,144,f,type2,A,B,TRUE,type3,33,FALSE,C,type3,1599,571
FALSE,TRUE,FALSE,TRUE,A,356,m,type5,A,A,FALSE,type5,29,FALSE,A,type3,1135,516
FALSE,FALSE,FALSE,TRUE,A,6388,m,type6,A,A,TRUE,type1,33,FALSE,C,type2,7585,616
TRUE,FALSE,FALSE,TRUE,A,30133,f,type6,A,C,FALSE,type1,25,FALSE,B,type2,8607,612
FALSE,FALSE,FALSE,TRUE,C,3063,m,type3,A,B,FALSE,type2,41,FALSE,C,type4,3495,408
TRUE,TRUE,FALSE,TRUE,B,45,f,type1,A,A,TRUE,type4,33,FALSE,C,type1,4439,668
TRUE,TRUE,FALSE,TRUE,B,5029,m,type1,B,B,TRUE,type5,29,FALSE,C,type3,6332,512
TRUE,TRUE,FALSE,TRUE,A,426,m,type5,A,B,FALSE,type1,29,FALSE,A,type4,1680,405
TRUE,FALSE,FALSE,TRUE,C,15318,f,type6,A,B,TRUE,type2,33,FALSE,C,type3,9831,557
TRUE,TRUE,FALSE,TRUE,C,188,m,type1,A,B,TRUE,type5,50,TRUE,C,type3,8676,533
TRUE,TRUE,FALSE,TRUE,C,2383,m,type1,A,B,TRUE,type4,29,FALSE,C,type2,9602,634
TRUE,FALSE,FALSE,TRUE,B,2035,f,type5,A,A,TRUE,type1,29,FALSE,A,type3,1832,554
TRUE,FALSE,FALSE,TRUE,B,4,m,type1,A,B,TRUE,type4,29,FALSE,B,type2,3115,660
TRUE,TRUE,FALSE,TRUE,C,14190,f,type1,A,A,TRUE,type4,37,FALSE,B,type2,5156,654
TRUE,TRUE,TRUE,TRUE,B,7339,m,type2,A,B,TRUE,type3,25,FALSE,B,type4,5495,493
TRUE,FALSE,FALSE,TRUE,C,413,f,type6,A,B,FALSE,type4,33,FALSE,B,type2,2292,658
TRUE,FALSE,FALSE,TRUE,C,30108,f,type1,A,A,FALSE,type2,33,TRUE,B,type1,7918,941
TRUE,TRUE,FALSE,TRUE,C,275,f,type3,A,A,TRUE,type5,29,FALSE,C,type3,6333,594
TRUE,FALSE,FALSE,TRUE,B,118,f,type5,A,B,FALSE,type4,33,FALSE,A,type3,5510,556
TRUE,FALSE,FALSE,TRUE,B,208,m,type3,A,A,TRUE,type5,20,TRUE,B,type3,8457,597
TRUE,TRUE,FALSE,TRUE,C,1055,m,type5,A,B,TRUE,type3,33,FALSE,B,type4,4433,423
TRUE,TRUE,FALSE,TRUE,B,359,m,type5,A,B,TRUE,type4,25,FALSE,A,type4,3600,461
TRUE,FALSE,FALSE,TRUE,C,330,f,type6,A,B,TRUE,type4,33,FALSE,B,type2,5960,636
TRUE,TRUE,FALSE,TRUE,C,3071,m,type4,B,B,TRUE,type5,33,FALSE,B,type4,1750,499
TRUE,TRUE,FALSE,TRUE,C,20179,m,type1,A,B,TRUE,type1,25,FALSE,B,type3,954,551
TRUE,FALSE,FALSE,TRUE,C,14450,m,type5,A,B,FALSE,type5,29,TRUE,A,type1,9900,694
TRUE,TRUE,FALSE,TRUE,C,90,f,type1,A,B,TRUE,type4,33,FALSE,C,type4,5114,458
TRUE,TRUE,FALSE,TRUE,B,451,f,type5,A,B,TRUE,type4,29,FALSE,B,type4,8185,484
TRUE,TRUE,FALSE,TRUE,B,479,f,type2,C,A,FALSE,type5,25,FALSE,C,type1,3284,804
TRUE,TRUE,FALSE,TRUE,B,226,m,type1,B,B,FALSE,type4,41,TRUE,C,type4,4650,440
TRUE,FALSE,FALSE,TRUE,A,15273,m,type5,A,B,FALSE,type5,33,TRUE,C,type3,8059,564
